Name,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,
NBA Ballers,2004,Sports,0.51,82,8.1,E,
Silent Hill 4: The Room,2004,Action,0.51,76,7.8,M,
River Raid II,1988,Shooter,0.51,,,,
Capcom Classics Collection,2005,Misc,0.51,78,8.4,T,
My Word Coach,2007,Misc,0.51,68,,E,
Monopoly Party,2002,Misc,0.51,,,,
Tiger Woods PGA Tour 13,2012,Sports,0.51,77,5.6,E,
NHL FaceOff 98,1997,Sports,0.51,,,,
The Saboteur,2009,Action,0.51,73,8.2,M,
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,2004,Action,0.5,56,,E,
Sonic Riders,2006,Racing,0.5,55,7.2,E,
Looney Tunes: Back in Action,2003,Platform,0.5,51,7.5,E,
Monsters vs. Aliens,2009,Action,0.5,47,,E,
Midnight Magic,1983,Action,0.5,,,,
NHL 09,2008,Sports,0.5,88,8.4,E10+,
Bully: Scholarship Edition,2008,Action,0.5,83,8.4,T,
WWE SmackDown vs. RAW 2007,2006,Fighting,0.5,81,7.8,T,
Midnight Club II,2003,Racing,0.5,86,7.6,T,
Monster Hunter Freedom 2,2011,Role-Playing,0.5,,,,
Tiger Woods PGA Tour 07,2006,Sports,0.5,81,,E,
Ratatouille,2007,Action,0.5,62,6.7,E,
Avatar: The Last Airbender,2006,Adventure,0.5,60,6.5,E10+,
Blue's Clues: Blue's Big Musical,2001,Misc,0.5,,,,
The Mummy Returns,2001,Action,0.5,44,7,T,
Cars Toon: Mater's Tall Tales,2010,Misc,0.5,,,E,
Paws & Claws: Dogs & Cats Best Friends,2007,Simulation,0.5,,,,
Hitman: Blood Money,2006,Action,0.5,83,8.4,M,
Disney Sing It,2008,Misc,0.5,,,E,
Chopper Command,1982,Shooter,0.5,,,,
Lost: Via Domus,2008,Action,0.5,54,6.9,T,
Crash: Mind Over Mutant,2008,Platform,0.5,73,6.5,E10+,
Activision Anthology,2002,Misc,0.5,75,7.7,E,
Picross DS,2007,Puzzle,0.5,83,8.7,E,
Pro Evolution Soccer 2012,2011,Action,0.5,78,6.6,E,
Final Fantasy II Anniversary Edition,2007,Role-Playing,0.5,63,7.1,T,
Test Drive Unlimited,2007,Racing,0.5,80,7.3,E10+,
Harry Potter and the Half-Blood Prince,2009,Action,0.5,,6.6,E,
Unit 13,2012,Shooter,0.5,71,7.5,T,
R.U.S.E.,2010,Strategy,0.5,76,7.3,T,
Theatrhythm: Final Fantasy,2012,Misc,0.5,78,7.8,E10+,
Prince of Persia Trilogy,2010,Action,0.5,,,,
Goldeneye 007: Reloaded,2011,Shooter,0.5,72,6,T,
Rugrats in Paris: The Movie,2000,Action,0.5,,,,
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,2009,Adventure,0.5,,,,
Star Wars: Jedi Starfighter,2002,Simulation,0.5,81,8.3,T,
Tactics Ogre: The Knight of Lodis,2001,Role-Playing,0.5,88,9.1,E,
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",2010,Shooter,0.5,,,,
Super Robot Taisen MX,2004,Strategy,0.5,,,,
Sega Bass Fishing,2008,Sports,0.5,59,6.3,E,
Bases Loaded '96: Double Header,1995,Sports,0.5,,,,
Dead or Alive Ultimate,2004,Fighting,0.5,83,8.7,M,
RPG Maker,1997,Role-Playing,0.5,66,8.2,E,
Major League Baseball 2K12,2012,Sports,0.5,68,6.4,E,
Rooms: The Main Building,2010,Adventure,0.5,56,,E,
Dance Dance Revolution Universe 2,2007,Simulation,0.5,65,7.4,E10+,
Burnout Revenge,2006,Racing,0.5,89,8.1,E10+,
Star Wars: Clone Wars,2002,Shooter,0.5,,,,
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,2004,Action,0.5,65,7.3,E,
Madden NFL 13,2012,Sports,0.5,,7.3,E,
Madden NFL 11,2010,Sports,0.5,,7,E,
Monster Hunter,2004,Role-Playing,0.5,68,8.9,T,
NBA Street Homecourt,2007,Sports,0.5,80,8.2,E,
Tony Hawk's Underground 2,2004,Sports,0.5,82,8.9,T,
SplashDown: Rides Gone Wild,2003,Racing,0.5,80,8.7,E,
Super Famista 5,1996,Sports,0.5,,,,
Shrek SuperSlam,2005,Action,0.5,67,9,E10+,
Rayman Advance,2001,Platform,0.5,84,8.4,E,
Super Robot Taisen Z,2008,Strategy,0.5,,,,
PoPoLoCrois Monogatari,1996,Role-Playing,0.5,,,,
Wet,N/A,Shooter,0.5,69,7.3,M,
Tomb Raider: Anniversary,2007,Action,0.5,,8.2,T,
Fantastic 4,2005,Action,0.5,64,7.8,T,
Men in Black II: Alien Escape,2002,Shooter,0.5,50,7.3,T,
RealSports Tennis,1982,Sports,0.5,,,,
Nicktoons: Attack of the Toybots,2007,Platform,0.5,,,E,
Raiders of the Lost Ark,1981,Action,0.5,,,,
Gauntlet,1982,Action,0.5,,,,
Alice: Madness Returns,2011,Adventure,0.5,70,8.1,M,
Madden NFL 07,2006,Sports,0.49,81,8,E,
Spider-Man 2,2004,Action,0.49,61,5,E,
Ridge Racer 3D,2011,Racing,0.49,75,7.2,E,
Picross 3D,2009,Puzzle,0.49,83,8.4,E,
Dynasty Warriors: Gundam 2,2008,Action,0.49,54,7,T,
Cars Mater-National Championship,2007,Racing,0.49,,6.7,E,
Tony Hawk's Underground 2,2004,Sports,0.49,70,,E,
Super Monkey Ball 3D,2011,Action,0.49,55,5.5,E,
Euro Truck Simulator,2008,Simulation,0.49,,7.6,,
SpongeBob SquarePants: Creature from the Krusty Krab,2006,Platform,0.49,57,5.6,E,
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015,Action,0.49,,,,
F1 2012,2012,Racing,0.49,84,6.9,E,
NBA 2K11,2010,Action,0.49,,,E,
Ice Hockey,1980,Sports,0.49,,,,
Tony Hawk's Project 8,2006,Sports,0.49,81,7.6,T,
Babysitting Mama,2010,Simulation,0.49,,,E,
Bleach: Soul Resurreccion,2011,Fighting,0.49,58,7.2,T,
The Matrix: Path of Neo,2005,Action,0.49,69,7.9,T,
Dragon Ball Z: Supersonic Warriors 2,2005,Fighting,0.49,66,7.6,E10+,
Sonic Lost World,2013,Platform,0.49,59,6.5,E10+,
WWE Wrestlemania X8,2002,Fighting,0.49,64,6.9,T,
Boogie,2007,Misc,0.49,57,5.3,E10+,
The Price is Right,2008,Misc,0.49,,,E,
Power Rangers: Dino Thunder,2003,Action,0.49,49,,E,
GoldenEye: Rogue Agent,2004,Shooter,0.49,61,7.2,T,
Fire Emblem: Radiant Dawn,2007,Strategy,0.49,78,8.7,E10+,
The Sims,2003,Simulation,0.49,85,7.7,T,
Plants vs. Zombies: Garden Warfare 2,2016,Shooter,0.49,81,7.7,E10+,
Grandia III,2005,Role-Playing,0.49,77,8.3,T,
Ace Combat: Assault Horizon,2011,Action,0.49,78,6.2,T,
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,2006,Shooter,0.49,,,,
Mario & Wario,1993,Puzzle,0.49,,,,
Scarface: The World is Yours,2006,Action,0.49,76,8.4,M,
Resident Evil: The Mercenaries 3D,2011,Action,0.49,65,6.4,M,
FIFA Soccer 64,1997,Sports,0.49,,,,
Dreamworks Madagascar Kartz,2009,Racing,0.49,,,E,
Star Wars Battlefront: Elite Squadron,2009,Shooter,0.49,61,5,E10+,
Epic Mickey: Power of Illusion,2012,Action,0.49,,,,
Kane & Lynch 2: Dog Days,2010,Shooter,0.49,,,,
J-League Pro Soccer Club wo Tsukurou! 2,1997,Sports,0.49,,,,
SpongeBob SquarePants: Creature from the Krusty Krab,2006,Platform,0.49,56,7.3,E,
Backyard Baseball,2004,Sports,0.49,,7.2,E,
WipEout Pulse,2009,Racing,0.49,,,,
Middle-Earth: Shadow of Mordor,2014,Action,0.49,,4.6,M,
Barbie Horse Adventures: Wild Horse Rescue,2003,Sports,0.49,,6.6,E,
Pokemon Art Academy ,2014,Misc,0.49,76,7.7,E,
Taiko no Tatsujin: Appare Sandaime,2003,Misc,0.49,,,,
One Piece: Grand Battle!,2001,Fighting,0.49,,,,
Sonic & All-Stars Racing Transformed,2012,Racing,0.49,,,,
Medal of Honor,2010,Shooter,0.49,72,6.4,M,
Asphalt 3D,2011,Racing,0.49,43,4.4,E10+,
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,Shooter,0.49,,,,
Crazy Taxi,2001,Racing,0.49,69,7.5,T,
Dragon Ball Z: Burst Limit,2008,Fighting,0.49,72,7.6,T,
Spy Hunter 2,2003,Racing,0.49,57,6.4,T,
Pac-Man World 2,2002,Action,0.49,66,,E,
Die Hard Trilogy 2: Viva Las Vegas,1999,Action,0.49,,,,
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,2001,Misc,0.49,,,,
Sniper: Art of Victory,2008,Shooter,0.49,36,3.6,M,
Tales of Legendia,2005,Role-Playing,0.49,72,7.7,T,
SimCity 2000,1995,Simulation,0.49,,,,
FIFA Soccer 09,2008,Sports,0.49,84,6.1,E,
Steel Diver,2011,Action,0.49,58,6.3,E10+,
Bravely Second: End Layer,2015,Role-Playing,0.49,81,7.4,T,
Alone in the Dark,2008,Adventure,0.48,58,5.7,M,
Football Manager Handheld 2009,2008,Sports,0.48,,,,
Puzzle & Dragons Z + Super Mario Bros. Edition,2015,Puzzle,0.48,,,,
Shrek the Third,2007,Action,0.48,56,6.1,E10+,
Madagascar: Operation Penguin,2005,Action,0.48,,,E,
Need for Speed: Porsche Unleashed,2004,Racing,0.48,62,7.8,E,
Yu-Gi-Oh! Forbidden Memories (JP sales),1999,Role-Playing,0.48,,,,
Far Cry 2,2008,Action,0.48,85,5.8,M,
NFL Street 2,2004,Sports,0.48,78,6.5,E,
Millipede,1983,Shooter,0.48,,,,
The Legend of the Mystical Ninja,1991,Adventure,0.48,,,,
Mad Max (2015),2015,Action,0.48,,,,
Rock Band Unplugged,2009,Misc,0.48,79,8.6,T,
Ultimate I Spy,2008,Adventure,0.48,,,E,
Jeopardy!,2003,Misc,0.48,,,,
Destroy All Humans! 2,2006,Action,0.48,,,,
Skylanders: SuperChargers,2015,Action,0.48,87,5.6,E10+,
ECW Hardcore Revolution,1999,Fighting,0.48,,,,
You're in the Movies,2008,Misc,0.48,55,5.5,E,
Cars 2,2011,Racing,0.48,,,,
Scene It? Lights Camera Action,2007,Misc,0.48,73,8.1,T,
MotorStorm: Apocalypse,2011,Racing,0.48,77,7.7,T,
Dark Sector,2008,Shooter,0.48,72,7.5,M,
Wu-Tang: Shaolin Style,1998,Fighting,0.48,,,,
Tiger Woods PGA Tour 07,2006,Sports,0.48,80,7.9,E,
Plants vs. Zombies: Garden Warfare 2,2016,Shooter,0.48,80,8.1,E10+,
Mario Golf: World Tour,2014,Sports,0.48,78,8.2,E,
Secret Weapons Over Normandy,2003,Simulation,0.48,81,8.2,T,
Harvest Moon 64,1999,Simulation,0.48,,,,
All-Star Baseball 99,1998,Sports,0.48,,,,
NCAA Football 09,2008,Sports,0.48,,,E,
Bratz: The Movie,2007,Simulation,0.48,,5,E,
Crash of the Titans,2007,Action,0.48,73,5.9,E,
Dragon Ball: XenoVerse,2015,Fighting,0.48,,7.1,T,
Rayman Raving Rabbids: TV Party,2008,Misc,0.48,,,E10+,
Lollipop Chainsaw,2012,Action,0.48,70,7,M,
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,Shooter,0.48,,,,
Vigilante 8: 2nd Offense,1999,Racing,0.48,,,,
The Saboteur,2009,Action,0.48,72,8.1,M,
Metal Gear Rising: Revengeance,2013,Action,0.48,82,7.8,M,
Atelier Rorona: Alchemist of Arland,2009,Role-Playing,0.48,,,,
Theme Park Roller Coaster,2000,Strategy,0.48,82,7.9,E,
Bass Pro Shops: The Strike,2009,Sports,0.48,,7.6,E,
Bakugan Battle Brawlers: Defenders of the Core,2010,Action,0.48,,,E10+,
NFL Xtreme 2,1999,Sports,0.48,,,,
Major League Baseball 2K13,2013,Sports,0.48,,,,
Scrabble 2007 Edition,2007,Puzzle,0.48,,,,
NHL 16,2015,Sports,0.48,80,6,E10+,
Midnight Club: Street Racing,2001,Racing,0.48,50,5.3,E,
Tiger Woods PGA Tour 06,2005,Sports,0.48,81,5.1,E,
Fortune Street,2011,Misc,0.48,68,7.5,E,
FIFA World Cup Germany 2006,2006,Sports,0.48,72,6.6,E,
Up,2009,Action,0.48,,,E,
Grand Prix,1981,Racing,0.48,,,,
Jake Power: Fireman,2008,Adventure,0.48,,,E,
World of Outlaws: Sprint Cars 2002,2002,Racing,0.48,80,9.1,E,
Children of Mana,2006,Role-Playing,0.48,65,6,E10+,
Sonic the Hedgehog,N/A,Platform,0.48,43,4.1,E10+,
Fantavision,2000,Puzzle,0.47,72,6.3,E,
Double Dragon,1989,Action,0.47,,,,
Alien Trilogy,1996,Shooter,0.47,,,,
NBA Live 99,1998,Sports,0.47,,,,
Karate,N/A,Fighting,0.47,,,,
X-Men: Next Dimension,2002,Fighting,0.47,61,8.7,T,
Go Diego Go! Great Dinosaur Rescue,2008,Action,0.47,,,,
The Godfather (JP sales),2006,Action,0.47,,,,
Dynasty Warriors Gundam,2007,Action,0.47,60,6.9,T,
Doom 3 BFG Edition,2012,Shooter,0.47,67,6.5,M,
Alice in Wonderland,2010,Adventure,0.47,78,,E10+,
Spider-Man 3,2007,Platform,0.47,53,5.3,T,
Super Puyo Puyo 2,1995,Puzzle,0.47,,,,
Rock Band 4,2015,Misc,0.47,79,6.4,T,
Gauntlet Legends,2000,Action,0.47,,,,
James Bond 007: Blood Stone,2010,Shooter,0.47,62,7.1,T,
WipEout,1995,Action,0.47,,,,
Street Fighter X Tekken,2012,Fighting,0.47,83,4.4,T,
Dark Sector,2008,Shooter,0.47,72,7.6,M,
ICO,2001,Action,0.47,90,8.8,T,
World of Warcraft: Warlords of Draenor,2014,Action,0.47,87,5.9,T,
Ford Racing Off Road,2008,Racing,0.47,37,6.3,E,
Cars: Race-O-Rama,2009,Racing,0.47,,,E,
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,2011,Role-Playing,0.47,,,,
Unreal Tournament III,2008,Shooter,0.47,82,7.6,M,
FIFA Soccer 13,2012,Action,0.47,69,6.2,E,
Victorious Boxers: Ippo's Road to Glory,2000,Fighting,0.47,75,8,T,
Densetsu no Stafi,2002,Platform,0.47,,,,
Valkyrie Profile 2: Silmeria,2006,Role-Playing,0.47,84,9,T,
Pinball Hall of Fame: The Williams Collection,2008,Misc,0.47,82,8.8,E10+,
Hot Wheels Velocity X,2002,Racing,0.47,54,7.1,E,
MySims Racing,2009,Racing,0.47,68,7.4,E,
Clash of Elementalists,2010,Action,0.47,34,,T,
F.E.A.R. 2: Project Origin,2009,Shooter,0.47,79,7.9,M,
The Sims 2: Pets,2007,Simulation,0.47,65,7.3,T,
L.A. Rush,2005,Racing,0.47,58,8,T,
Momotarou Dentetsu V,1999,Misc,0.47,,,,
Doom 64,1997,Shooter,0.47,,,,
Bomberman Hero,1998,Platform,0.47,,,,
Automobili Lamborghini,1997,Racing,0.47,,,,
Quest 64,1998,Role-Playing,0.47,,,,
Crash: Mind Over Mutant,2008,Platform,0.47,60,6.5,E10+,
Viva Pinata: Trouble in Paradise,2008,Simulation,0.47,82,7.9,E,
Epic Mickey 2: The Power of Two,2012,Action,0.47,59,4.3,E,
Commando,1987,Action,0.47,,,,
NBA Ballers: Phenom,2006,Sports,0.47,69,8.5,E,
Dragon Age Origins: Awakening,2010,Role-Playing,0.47,,,,
Need for Speed Carbon,2006,Racing,0.47,74,7.4,E10+,
Shadowrun,2007,Role-Playing,0.47,66,7.5,M,
Crazy Taxi: Fare Wars,2007,Racing,0.47,64,7.1,E10+,
MTV Music Generator,1999,Misc,0.47,,,,
"Warhammer 40,000: Dawn of War II",2009,Strategy,0.47,85,8.1,M,
Hamsterz Life,2006,Action,0.47,,9,E,
Emergency Heroes,2008,Racing,0.47,41,4.2,E10+,
Super Momotarou Dentetsu DX,1995,Misc,0.47,,,,
FlingSmash,2010,Action,0.47,48,6.8,E,
World Soccer Winning Eleven 8: Liveware Evolution,2005,Sports,0.47,,,,
Cars: Race-O-Rama,2009,Racing,0.47,,,E,
Downhill Domination,2003,Racing,0.47,79,8.9,T,
Dead Space Extraction,2009,Shooter,0.47,82,8.1,M,
Pirates of the Caribbean: Dead Man's Chest,2006,Adventure,0.47,70,5.6,E10+,
Silent Hill: Shattered Memories,2009,Action,0.47,79,8,M,
Active Life: Extreme Challenge,2009,Sports,0.47,56,,E,
FIFA 12,2011,Sports,0.47,,,,
Spider-Man: Friend or Foe,2007,Action,0.47,55,,E10+,
World Series of Poker,2005,Misc,0.47,46,8.2,E10+,
Inazuma Eleven Go 2: Chrono Stone,2012,Role-Playing,0.47,,,,
NHL 97,1996,Sports,0.47,,,,
Final Fantasy Crystal Chronicles: Echoes of Time,2009,Role-Playing,0.47,75,7.3,E10+,
Rise of Nightmares,2011,Action,0.47,54,7.8,M,
EA Sports UFC,2014,Sports,0.47,70,6.3,T,
Kong: The 8th Wonder of the World,2005,Action,0.47,59,,E10+,
Spider-Man 3,2007,Platform,0.47,79,6.5,E10+,
Dead or Alive 4,2005,Fighting,0.47,85,8.2,M,
Godzilla: Save the Earth,2004,Fighting,0.47,62,8.7,T,
Dance Dance Revolution: Mario Mix,2005,Misc,0.47,69,8.4,E,
Metal Gear Solid: The Twin Snakes,2004,Action,0.47,85,9,M,
Tiger Woods PGA Tour 07,N/A,Sports,0.47,71,6.9,E,
Art Academy: Lessons for Everyone,2012,Action,0.46,81,7.6,E,
Mat Hoffman's Pro BMX 2,2002,Sports,0.46,76,9.1,T,
Metal Gear Solid: The Essential Collection,2007,Adventure,0.46,,8.9,M,
One Piece: Pirate Warriors 3,2015,Action,0.46,74,7.4,T,
Iridion 3D,2001,Shooter,0.46,53,,E,
2010 FIFA World Cup South Africa,2010,Sports,0.46,69,7.4,E,
Classic NES Series: Pac-Man,2004,Puzzle,0.46,53,,E,
Two Worlds II,2011,Role-Playing,0.46,70,7,M,
Football Manager 2015,2014,Simulation,0.46,80,6,,
Destroy All Humans!,2005,Shooter,0.46,,,,
Petz Sports,2008,Simulation,0.46,,,,
Imagine: Figure Skater (US sales),2007,Sports,0.46,,,,
SimCity Creator,2008,Simulation,0.46,67,6.8,E,
Dragon Ball Z: Collectible Card Game,2002,Misc,0.46,62,5.5,E,
Circus Atari,N/A,Action,0.46,,,,
Harry Potter and the Order of the Phoenix,2007,Action,0.46,69,7.2,E10+,
The Sims 3: Ambitions,2010,Simulation,0.46,74,7.3,T,
Razor Freestyle Scooter,1999,Sports,0.46,65,,E,
Disney's Kim Possible 3: Team Possible,2005,Platform,0.46,76,7.7,E,
Rygar: The Legendary Adventure,2002,Action,0.46,83,8.4,T,
Syphon Filter: Logan's Shadow,2007,Shooter,0.46,85,8.8,T,
Super Batter Up,1992,Sports,0.46,,,,
Kessen II,2001,Strategy,0.46,71,8.3,T,
Crayon Shin-Chan: Arashi o Yobu Enji,1993,Platform,0.46,,,,
Stuart Little 2,2002,Platform,0.46,59,,E,
Tak 2: The Staff of Dreams,2004,Platform,0.46,45,,E,
SingStar Amped,2007,Misc,0.46,76,,T,
Brothers In Arms: Earned in Blood,2005,Shooter,0.46,71,7.9,M,
The Evil Within,2014,Action,0.46,,7.6,M,
Dragon Ball Z: Sagas,2005,Fighting,0.46,49,5.4,T,
Scooby-Doo,2001,Platform,0.46,64,,E,
MX vs. ATV: Alive,2011,Racing,0.46,61,6.7,E,
Hydro Thunder,1999,Racing,0.46,,,,
NHL FaceOff '97,1996,Sports,0.46,,,,
Thief (2014),2014,Action,0.46,,,,
The Walking Dead: Season One,2014,Adventure,0.46,,,,
NBA Live 07,2006,Sports,0.46,59,4.9,E,
Brothers In Arms: Road to Hill 30,2005,Shooter,0.46,82,7.6,M,
The Legend of Spyro: Dawn of the Dragon,2008,Platform,0.46,57,6.8,E,
Gremlins,1983,Action,0.46,,,,
The Mark of Kri,2002,Action,0.46,80,7.9,M,
Need for Speed: Hot Pursuit,2010,Racing,0.46,50,3.7,E10+,
Jampack Winter 2003 (RP-M),2003,Misc,0.46,,,,
Rugrats: Castle Capers,2001,Action,0.46,,,,
Crash Nitro Kart,2003,Racing,0.46,77,8.3,E,
Crayola: Treasure Adventures,2007,Puzzle,0.46,65,,E,
LEGO The Hobbit,2014,Action,0.46,,7,E10+,
Silent Hill: Downpour,2012,Action,0.46,64,6.9,M,
Mega Man Star Force 3: Black Ace / Red Joker,2008,Action,0.46,,,,
WWE SmackDown vs. Raw 2011,2010,Fighting,0.46,72,,T,
Jak and Daxter: The Lost Frontier,2009,Platform,0.46,72,4.6,E10+,
Momotarou Dentetsu 11,2002,Misc,0.46,,,,
Disney Infinity 3.0,2015,Action,0.46,,,,
The Sims 3: Outdoor Living Stuff,2011,Simulation,0.46,,5.6,T,
Star Wars: Demolition,2000,Racing,0.46,63,6.5,T,
Bloody Roar II,1999,Fighting,0.46,,,,
Delta Force: Black Hawk Down,2005,Shooter,0.46,58,8.8,T,
The Princess and the Frog,2009,Platform,0.46,,,E,
Space Invaders,1994,Shooter,0.46,,,,
.hack//Outbreak Part 3,2002,Role-Playing,0.46,70,8.7,T,
Mother 1+2,2003,Role-Playing,0.46,,,,
MX vs. ATV Untamed,2007,Racing,0.46,67,6.1,E,
Boom Blox Bash Party,2009,Puzzle,0.46,86,8.4,E,
Top Spin,2003,Sports,0.46,89,8.2,E,
Brothers In Arms: D-Day,2006,Shooter,0.46,65,9.1,M,
Warhawk,1995,Simulation,0.46,,,,
The Golden Compass,2007,Action,0.46,41,4.1,E10+,
Tomb Raider: Legend,2006,Action,0.46,67,7.9,T,
Just Dance 2014,2013,Misc,0.45,71,7,E10+,
Tales of Vesperia,2009,Role-Playing,0.45,,,,
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2005,Platform,0.45,,,,
Dora The Explorer: Dora Saves the Snow Princess,2008,Platform,0.45,,,,
Missile Command,1999,Shooter,0.45,,,,
FIFA 15,2014,Sports,0.45,,2.4,E,
Jikkyou Powerful Pro Yakyuu 3,1996,Sports,0.45,,,,
Jikkyou Powerful Pro Yakyuu 12,2005,Sports,0.45,,,,
Enter the Matrix,2003,Action,0.45,63,8,T,
LEGO The Hobbit,2014,Action,0.45,70,8.7,E10+,
NASCAR 2005: Chase for the Cup,2004,Racing,0.45,86,,E,
J-League Excite Stage '95,1995,Sports,0.45,,,,
Vin Diesel: Wheelman,2009,Racing,0.45,,,,
NHL 15,2014,Sports,0.45,,2.8,E10+,
Phantasy Star Online Episode I & II,2002,Role-Playing,0.45,,,,
PlayStation All-Stars Battle Royale,2012,Action,0.45,75,7.5,T,
The Powerpuff Girls: Relish Rampage,2002,Action,0.45,46,6.8,E,
Bleach: The Blade of Fate,2006,Fighting,0.45,83,7.5,T,
American Girl: Kit Mystery Challenge!,2008,Adventure,0.45,,,E,
Country Dance 2,2011,Misc,0.45,,,E10+,
The Chronicles of Riddick: Escape from Butcher Bay,N/A,Shooter,0.45,89,8.9,M,
NFL Head Coach,2006,Sports,0.45,66,6.9,E,
Ghostbusters,1985,Puzzle,0.45,,,,
Nickelodeon Team Umizoomi,2011,Action,0.45,,,EC,
NCAA Gamebreaker 99,1998,Sports,0.45,,,,
Tomb Raider: Underworld,2008,Action,0.45,70,7.2,T,
Area 51,2005,Shooter,0.45,75,8.4,M,
World Stadium 2,1998,Sports,0.45,,,,
NHL 2005,2004,Sports,0.45,75,8.3,E,
The New York Times Crosswords,2007,Puzzle,0.45,79,6.7,T,
Karaoke Revolution Presents American Idol Encore,2008,Misc,0.45,,7.8,E,
Barbie as The Island Princess,2007,Adventure,0.45,,,E,
Lego Batman 3: Beyond Gotham,2014,Action,0.45,,6.4,E10+,
iCarly,2009,Adventure,0.45,,,E,
Star Wars Jedi Knight: Jedi Academy,2003,Shooter,0.45,76,8.7,T,
Phoenix,1981,Simulation,0.45,,,,
Dynasty Warriors: Strikeforce,2009,Action,0.45,65,6.8,T,
Brain Challenge,2008,Misc,0.45,68,7,E,
Command & Conquer: Red Alert 3,2008,Strategy,0.45,,,,
Enemy Territory: Quake Wars,2008,Shooter,0.45,69,7.3,T,
Major League Baseball 2K11,2011,Sports,0.45,69,6.8,E,
Harvest Moon DS (US sales),2005,Simulation,0.45,,,,
Apocalypse,1998,Action,0.45,,,,
ATV Offroad Fury Pro,2006,Racing,0.45,76,,E,
Burnout Dominator,2007,Racing,0.45,76,8.2,E10+,
Yu-Gi-Oh! Destiny Board Traveler,2004,Misc,0.45,,,,
God Eater 2,2013,Role-Playing,0.45,,,,
Scooby-Doo! and the Spooky Swamp,2010,Action,0.45,,,,
Crash of the Titans,2007,Action,0.45,69,5.8,E10+,
World Soccer Winning Eleven 5 Final Evolution,2001,Sports,0.45,,,,
Red Faction: Armageddon,2011,Shooter,0.45,71,7.3,M,
Sphinx and the Cursed Mummy,2003,Action,0.45,,,,
Fatal Fury 2,1993,Fighting,0.45,,,,
Rampage World Tour,1998,Action,0.45,,,,
Pokemon Puzzle League,2000,Puzzle,0.45,,,,
PES 2009: Pro Evolution Soccer,2009,Sports,0.45,,,,
Despicable Me: The Game - Minion Mayhem,2010,Puzzle,0.45,,,,
Lego Batman 3: Beyond Gotham,2014,Action,0.45,,7,E10+,
Tekken Advance,2001,Fighting,0.45,82,8.2,T,
Shin Megami Tensei: Persona 3,2006,Role-Playing,0.45,86,8.4,M,
Persona,1995,Role-Playing,0.45,,,,
Hot Wheels: Stunt Track Challenge,2004,Racing,0.45,,,E,
My Fashion Studio,2007,Misc,0.45,,6.8,E,
Maze Craze: A Game of Cops 'n Robbers,N/A,Action,0.45,,,,
Mobile Suit Gundam,1995,Action,0.45,,,,
TNA iMPACT!,2008,Fighting,0.45,,,,
Pirates of the Caribbean: At World's End,2007,Action,0.45,53,7.2,T,
Bee Movie Game,2007,Action,0.45,58,,E,
Sega Rally Revo,2007,Racing,0.45,77,7.2,E,
SingStar Take That,2009,Misc,0.45,,,,
Final Fantasy Collection,1999,Role-Playing,0.45,,,,
Disney Sing It! High School Musical 3: Senior Year,2008,Misc,0.45,,,,
Samurai Warriors: Xtreme Legends,2004,Action,0.45,72,8.6,T,
LEGO Rock Band,2009,Misc,0.45,80,7.5,E,
NHL FaceOff,1994,Sports,0.45,,,,
WWE WrestleMania 21,2005,Fighting,0.45,56,6.9,T,
NBA Live 2005,2004,Sports,0.45,83,6.7,E,
F.E.A.R. 3,2011,Shooter,0.45,74,7.1,M,
Defender II,1987,Shooter,0.45,,,,
WWE Day of Reckoning,2004,Fighting,0.45,79,9.1,T,
NBA Live 10,2009,Sports,0.45,80,7.7,E,
ATV Quad Power Racing 2,2003,Racing,0.45,68,,E,
Harry Potter and the Deathly Hallows - Part 1,2010,Action,0.45,38,5,T,
Walt Disney World Quest: Magical Racing Tour,2000,Racing,0.45,,,,
Pro Evolution Soccer 2017,2016,Sports,0.45,85,7.6,E,
Sled Storm,2002,Racing,0.45,73,7.7,T,
Vandal Hearts,1996,Role-Playing,0.45,,,,
Dead or Alive: Dimensions,2011,Fighting,0.45,79,8.2,T,
Disney Infinity 3.0,2015,Action,0.45,,,,
We Sing Encore,2010,Misc,0.45,,,,
Wolfenstein: The New Order,2014,Shooter,0.45,81,8.2,M,
Deadpool,2013,Action,0.45,61,7.2,M,
Jawbreaker,1981,Action,0.45,,,,
Scooby-Doo! Mystery Mayhem,2004,Action,0.45,,,,
Watch Dogs,2014,Action,0.45,77,4.7,M,
Mario Golf: Advance Tour,2004,Sports,0.45,84,8.6,E,
Celebrity Sports Showdown,2008,Sports,0.45,50,4.6,E,
F.E.A.R. 3,2011,Shooter,0.45,75,7,M,
Disney Guilty Party,2010,Misc,0.45,78,8,E,
